2,4,1,2
2,6,1,3
2,8,1,4
2,10,1,5
2,12,1,6
2,14,1,7
2,16,1,8
2,18,1,9
3,6,1,2
3,9,1,3
3,12,1,4
3,15,1,5
3,18,1,6
4,6,2,3
4,8,1,2
4,10,2,5
4,12,1,3
4,14,2,7
4,16,1,4
4,18,2,9
4,20,1,5
5,10,1,2
5,15,1,3
5,20,1,4
6,4,3,2
6,8,3,4
6,9,2,3
6,10,3,5
6,12,1,2
6,14,3,7
6,15,2,5
6,16,3,8
6,18,1,3
7,14,1,2
8,6,4,3
8,10,4,5
8,12,2,3
8,14,4,7
8,16,1,2
8,18,4,9
8,20,2,5
9,6,3,2
9,12,3,4
9,15,3,5
9,18,1,2
10,4,5,2
10,6,5,3
10,8,5,4
10,12,5,6
10,14,5,7
10,15,2,3
10,16,5,8
10,18,5,9
10,20,1,2
12,8,3,2
12,9,4,3
12,10,6,5
12,14,6,7
12,15,4,5
12,16,3,4
12,18,2,3
12,20,3,5
14,4,7,2
14,6,7,3
14,8,7,4
14,10,7,5
14,12,7,6
14,16,7,8
14,18,7,9
15,6,5,2
15,9,5,3
15,10,3,2
15,12,5,4
15,18,5,6
15,20,3,4
16,6,8,3
16,10,8,5
16,12,4,3
16,14,8,7
16,18,8,9
16,20,4,5
18,4,9,2
18,8,9,4
18,10,9,5
18,12,3,2
18,14,9,7
18,15,6,5
18,16,9,8
20,8,5,2
20,12,5,3
20,15,4,3
20,16,5,4
