1,2,1,3,5,6
1,2,2,3,7,6
1,2,1,4,3,4
1,2,3,4,5,4
1,2,1,8,5,8
1,2,3,8,7,8
1,2,5,8,9,8
1,3,1,2,5,6
1,3,5,6,7,6
1,3,1,9,4,9
1,3,2,9,5,9
1,3,4,9,7,9
1,3,5,9,8,9
2,3,1,2,7,6
2,3,1,6,5,6
2,3,1,9,7,9
2,3,2,9,8,9
1,4,1,2,3,4
1,4,1,8,3,8
1,4,3,8,5,8
1,4,5,8,7,8
1,4,7,8,9,8
3,4,1,2,5,4
3,4,1,8,7,8
3,4,3,8,9,8
1,6,2,3,5,6
5,6,1,3,7,6
1,8,1,2,5,8
1,8,1,4,3,8
1,8,3,4,7,8
3,8,1,2,7,8
3,8,1,4,5,8
3,8,3,4,9,8
5,8,1,2,9,8
5,8,1,4,7,8
7,8,1,4,9,8
1,9,1,3,4,9
1,9,2,3,7,9
2,9,1,3,5,9
2,9,2,3,8,9
4,9,1,3,7,9
5,9,1,3,8,9
